序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-去年同期,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-去年同期,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,所处行业,公告日期
154,688552,航天南湖,0.09,810195600.0,217816300.0,271.962796172738,240.003471841892,31951300.0,-78234400.0,140.840474267074,64.413304042,7.67,1.24,军工电子Ⅱ,2026-02-28
155,688543,国科军工,1.19,1410340500.0,1204437700.0,17.095346650142,77.40502648949,247511600.0,198727100.0,24.548488857333,58.7773133376,11.57,10.77,地面兵装Ⅱ,2026-02-28
157,688531,日联科技,1.25,1071368800.0,739495900.0,44.87826098833,20.813227155194,174566200.0,143304400.0,21.814961717854,18.4183237031,23.57,5.29,专用设备,2026-02-28
161,688525,佰维存储,1.9,11296205200.0,6695185100.0,68.721327809145,77.302670284242,866723400.0,161233400.0,437.558223048078,226.4163241977,11.68,20.09,半导体,2026-02-28
163,688522,纳睿雷达,0.36,460121800.0,345275600.0,33.262182442084,107.922157404645,108469500.0,76612900.0,41.581248066579,117.8433918968,7.62,4.77,军工电子Ⅱ,2026-02-28
165,688518,联赢激光,0.5,3260517500.0,3149554300.0,3.523139766157,41.820674141199,172233800.0,165532500.0,4.048328878015,27.8149797526,9.57,5.38,自动化设备,2026-02-28
166,688515,裕太微,-1.75,617889200.0,396226500.0,55.943431345455,38.834354241925,-138784800.0,-201678400.0,31.1850946854,51.5751896033,18.77,-8.94,半导体,2026-02-28
176,688500,慧辰股份,-0.56,505040900.0,444039500.0,13.737831882074,68.284386333801,-41484300.0,-53397200.0,22.309971309357,115.0496974984,9.62,-5.66,IT服务Ⅱ,2026-02-28
178,688498,源杰科技,2.24,601434500.0,252172700.0,138.501035203256,22.370564012654,190924000.0,-6133900.0,3212.60372682959,42.6007003284,27.14,8.68,半导体,2026-02-28
187,688455,科捷智能,0.2,2285976075.01,1393603611.09,64.033449455691,488.576098588096,31773321.71,-58626845.09,154.195857991716,512.2488829589,5.67,3.27,自动化设备,2026-02-28
189,688435,英方软件,-0.17,188503600.0,190486100.0,-1.040758354547,20.122467894313,-13969800.0,-28585000.0,51.128913765961,114.2124473928,13.13,-1.26,软件开发,2026-02-28
190,688433,华曙高科,0.1645,716062800.0,491966800.0,45.551041249125,100.22560223487,67981200.0,67206900.0,1.152113845453,431.5936706887,4.99,3.39,通用设备,2026-02-28
196,688416,恒烁股份,-1.2,474649558.92,372290141.86,27.494527936894,28.183944725601,-98743678.16,-160998939.75,38.66811898679,86.0896828085,15.45,-7.62,半导体,2026-02-28
197,688411,海博思创,5.41,11604243500.0,8269704300.0,40.32235106641,8.889099476264,949036000.0,647838100.0,46.492773425953,6.4131151294,26.54,22.25,其他电源设备Ⅱ,2026-02-28
201,688401,路维光电,1.31,1155231700.0,875548700.0,31.943739965578,15.994114885304,250676200.0,190862200.0,31.338840273244,20.7998725827,8.64,16.39,半导体,2026-02-28
206,688395,正弦电气,0.47,442731600.0,366798700.0,20.701518298729,4.599598080349,40463500.0,37832400.0,6.954620906947,43.2636943054,9.04,5.24,自动化设备,2026-02-28
221,688369,致远互联,-1.94,905091935.1,846525778.96,6.918413779667,62.060541688091,-223921945.26,-235587344.3,4.951623812672,94.1544864341,7.32,-23.67,软件开发,2026-02-28
222,688368,晶丰明源,0.4,1569811400.0,1503617700.0,4.402295876139,17.397870940298,35604600.0,-33051300.0,207.725263454085,62.2030121947,13.51,3.14,半导体,2026-02-28
225,688363,华熙生物,0.61,4216838580.89,5370770254.64,-21.485403751037,16.697882299829,291072421.92,174267399.74,67.026318378692,22.721089085,14.81,4.17,医疗美容,2026-02-28
226,688361,中科飞测,0.18,2053298200.0,1380378800.0,48.748894144129,70.468001863305,57712400.0,-11525100.0,600.754006472829,1880.6800197398,14.62,1.95,半导体,2026-02-28
230,688356,键凯科技,1.05,316085006.71,227096825.17,39.185127961778,30.017059951386,63393506.15,29837797.0,112.460411035037,21.4188883709,21.75,4.9,化学制药,2026-02-28
231,688353,华盛锂电,0.08,869485800.0,504899400.0,72.209711479158,75.371515963075,13268300.0,-174674800.0,107.596001254903,484.4569141359,22.07,0.38,电池,2026-02-28
238,688335,复洁科技,0.08,340811000.0,186896100.0,82.35318982044,126.991674362216,11043900.0,-50381700.0,121.920459214358,304.6423990189,7.84,0.96,环境治理,2026-02-28
240,688332,中科蓝讯,11.75,1841575200.0,1819034000.0,1.2391851939,10.262142061772,1416192200.0,300097900.0,371.910066681573,1404.6737473609,43.83,30.59,半导体,2026-02-28
241,688331,荣昌生物,1.29,3251051100.0,1716861700.0,89.360103961781,146.224203402544,708523300.0,-1468360800.0,148.252670597036,1345.1300945641,6.72,24.88,生物制品,2026-02-28
242,688330,宏力达,4.6056,651851000.0,978709700.0,-33.396900020507,96.674252944776,638785500.0,222735500.0,186.791059350665,969.6074452043,31.53,15.65,电网设备,2026-02-28
243,688329,艾隆科技,0.25,452490700.0,325288400.0,39.104468527006,15.813264457062,18888600.0,-21703400.0,187.030603499912,167.0783269685,10.32,2.48,自动化设备,2026-02-28
